timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:59:40.206, 100 %, 56 %, 113.45 W, 1063 MHz
2020/12/31 09:59:41.209, 100 %, 62 %, 112.89 W, 1063 MHz
2020/12/31 09:59:42.212, 100 %, 61 %, 118.38 W, 1063 MHz
2020/12/31 09:59:43.214, 100 %, 62 %, 111.46 W, 1063 MHz
2020/12/31 09:59:44.217, 100 %, 62 %, 116.36 W, 1063 MHz
2020/12/31 09:59:45.220, 100 %, 61 %, 117.32 W, 1063 MHz
2020/12/31 09:59:46.223, 100 %, 60 %, 116.94 W, 1063 MHz
2020/12/31 09:59:47.225, 100 %, 53 %, 110.96 W, 1063 MHz
2020/12/31 09:59:48.226, 100 %, 61 %, 120.00 W, 1063 MHz
2020/12/31 09:59:49.229, 100 %, 67 %, 112.99 W, 1063 MHz
2020/12/31 09:59:50.232, 100 %, 62 %, 114.64 W, 1063 MHz
2020/12/31 09:59:51.234, 98 %, 70 %, 111.17 W, 1063 MHz
2020/12/31 09:59:52.237, 100 %, 62 %, 116.85 W, 1063 MHz
2020/12/31 09:59:53.240, 100 %, 53 %, 114.79 W, 1063 MHz
2020/12/31 09:59:54.242, 100 %, 58 %, 114.98 W, 1063 MHz
2020/12/31 09:59:55.245, 100 %, 54 %, 111.35 W, 1063 MHz
2020/12/31 09:59:56.250, 40 %, 32 %, 117.41 W, 1063 MHz
2020/12/31 09:59:57.253, 35 %, 28 %, 115.89 W, 1063 MHz
2020/12/31 09:59:58.256, 97 %, 70 %, 114.21 W, 1063 MHz
2020/12/31 09:59:59.261, 82 %, 59 %, 118.57 W, 1063 MHz
2020/12/31 10:00:00.264, 78 %, 58 %, 115.32 W, 1063 MHz
2020/12/31 10:00:01.267, 99 %, 70 %, 114.89 W, 1063 MHz
2020/12/31 10:00:02.271, 100 %, 60 %, 114.64 W, 1063 MHz
2020/12/31 10:00:03.277, 100 %, 61 %, 112.41 W, 1063 MHz
2020/12/31 10:00:04.279, 100 %, 61 %, 118.18 W, 1063 MHz
2020/12/31 10:00:05.282, 100 %, 53 %, 112.89 W, 1063 MHz
2020/12/31 10:00:06.285, 100 %, 61 %, 118.18 W, 1063 MHz
2020/12/31 10:00:07.288, 100 %, 59 %, 120.76 W, 1063 MHz
2020/12/31 10:00:08.290, 100 %, 53 %, 113.75 W, 1063 MHz
2020/12/31 10:00:09.293, 100 %, 59 %, 120.00 W, 1063 MHz
2020/12/31 10:00:10.296, 100 %, 61 %, 117.28 W, 1063 MHz
2020/12/31 10:00:11.299, 100 %, 61 %, 113.47 W, 1063 MHz
2020/12/31 10:00:12.301, 100 %, 57 %, 120.57 W, 1063 MHz
2020/12/31 10:00:13.304, 100 %, 60 %, 115.95 W, 1063 MHz
2020/12/31 10:00:14.307, 100 %, 55 %, 120.38 W, 1063 MHz
2020/12/31 10:00:15.310, 100 %, 59 %, 115.76 W, 1063 MHz
2020/12/31 10:00:16.313, 100 %, 59 %, 113.36 W, 1063 MHz
2020/12/31 10:00:17.316, 100 %, 65 %, 119.13 W, 1063 MHz
2020/12/31 10:00:18.319, 100 %, 60 %, 117.89 W, 1063 MHz
2020/12/31 10:00:19.322, 100 %, 61 %, 115.08 W, 1063 MHz
2020/12/31 10:00:20.324, 100 %, 67 %, 115.85 W, 1063 MHz
2020/12/31 10:00:21.327, 95 %, 68 %, 113.28 W, 1063 MHz
2020/12/31 10:00:22.335, 11 %, 9 %, 112.59 W, 1063 MHz
2020/12/31 10:00:23.338, 0 %, 0 %, 112.68 W, 1063 MHz
2020/12/31 10:00:24.341, 0 %, 0 %, 48.20 W, 1063 MHz
2020/12/31 10:00:25.343, 71 %, 40 %, 69.92 W, 1063 MHz
2020/12/31 10:00:26.346, 95 %, 54 %, 118.66 W, 1063 MHz
2020/12/31 10:00:27.349, 0 %, 0 %, 48.20 W, 1063 MHz
2020/12/31 10:00:28.352, 100 %, 64 %, 116.74 W, 1063 MHz
2020/12/31 10:00:29.354, 100 %, 54 %, 118.56 W, 1063 MHz
2020/12/31 10:00:30.357, 0 %, 0 %, 48.20 W, 1063 MHz
2020/12/31 10:00:31.360, 100 %, 64 %, 116.46 W, 1063 MHz
2020/12/31 10:00:32.362, 100 %, 56 %, 112.20 W, 1063 MHz
2020/12/31 10:00:33.365, 0 %, 0 %, 108.76 W, 1063 MHz
2020/12/31 10:00:34.368, 100 %, 62 %, 115.02 W, 1063 MHz
2020/12/31 10:00:35.371, 100 %, 51 %, 119.58 W, 1063 MHz
2020/12/31 10:00:36.373, 31 %, 26 %, 111.44 W, 1063 MHz
2020/12/31 10:00:37.376, 100 %, 57 %, 48.78 W, 1063 MHz
2020/12/31 10:00:38.379, 100 %, 60 %, 111.06 W, 1063 MHz
2020/12/31 10:00:39.380, 44 %, 35 %, 113.58 W, 1063 MHz
2020/12/31 10:00:40.382, 97 %, 54 %, 48.58 W, 1063 MHz
2020/12/31 10:00:41.385, 100 %, 56 %, 117.79 W, 1063 MHz
2020/12/31 10:00:42.388, 96 %, 74 %, 114.17 W, 1063 MHz
